# depth[mm]	eDep/nEvents(50MeV)[MeV]	eDep/nEvents(75MeV)[MeV]	eDep/nEvents(100MeV)[MeV]	eDep/nEvents(125MeV)[MeV]	eDep/nEvents(150MeV)[MeV]	eDep/nEvents(175MeV)[MeV]	eDep/nEvents(200MeV)[MeV]
51	1.99E-05	0.000383091	1.15253	0.805478	0.657416	0.574071	0.517963
52	1.50E-05	6.41E-05	1.17156	0.808633	0.660294	0.575144	0.522123
53	2.00E-05	0.000149056	1.18887	0.818016	0.660844	0.572113	0.517439
54	1.62E-05	0.000255537	1.20652	0.815763	0.661776	0.571985	0.515301
55	6.45E-06	8.26E-05	1.22749	0.821774	0.666592	0.577178	0.515924
56	1.28E-05	0.000258998	1.25398	0.828115	0.666867	0.577171	0.51538
57	1.12E-05	0.000140003	1.27511	0.829956	0.670124	0.576785	0.515074
58	9.14E-06	0.00013947	1.30125	0.835655	0.674847	0.57861	0.518382
59	1.65E-05	0.000177632	1.33054	0.841947	0.672507	0.578452	0.516507
60	1.62E-05	0.000167176	1.35974	0.847238	0.673299	0.580265	0.521623
61	1.18E-05	0.000291528	1.39801	0.851471	0.676495	0.584238	0.517505
62	6.59E-05	8.56E-05	1.43208	0.858112	0.677448	0.580859	0.520414
63	9.95E-06	0.000117947	1.47171	0.859316	0.679867	0.583823	0.519816
